CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,location
Residential,1,ERL,ERLTON,CENTRE,BUILT-OUT,INNER CITY,-114.06314254064,51.0263287010198,"(51.02632870102, -114.06314254064)"
Residential,1,ERI,ERIN WOODS,EAST,BUILT-OUT,1980s/1990s,-113.967605811053,51.0210504695618,"(51.021050469562, -113.967605811053)"
Residential,1,EPK,ELBOW PARK,CENTRE,BUILT-OUT,INNER CITY,-114.083843633682,51.0213638515377,"(51.021363851538, -114.083843633682)"
Industrial,2,EFV,EAST FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT,-114.037242873328,50.9848171894709,"(50.984817189471, -114.037242873328)"
Industrial,2,EFI,EASTFIELD,EAST,N/A,EMPLOYMENT,-113.970072884527,51.0119378079744,"(51.011937807974, -113.970072884527)"
Residential,1,EDG,EDGEMONT,NORTHWEST,BUILT-OUT,1980s/1990s,-114.143942746418,51.1245771244116,"(51.124577124412, -114.143942746418)"
Residential,1,EAU,EAU CLAIRE,CENTRE,BUILT-OUT,CENTRE CITY,-114.072822640965,51.0536090450565,"(51.053609045057, -114.072822640965)"
Residential,1,EAG,EAGLE RIDGE,SOUTH,BUILT-OUT,1960s/1970s,-114.099301846756,50.9850813331361,"(50.985081333136, -114.099301846756)"
Residential,1,DRN,DEER RUN,SOUTH,BUILT-OUT,1980s/1990s,-114.009088593916,50.9254084299019,"(50.925408429902, -114.009088593916)"
Residential,1,DRG,DEER RIDGE,SOUTH,BUILT-OUT,1980s/1990s,-114.020232535947,50.9265726885564,"(50.926572688556, -114.020232535947)"
Residential,1,DOV,DOVER,EAST,BUILT-OUT,1960s/1970s,-113.993150756215,51.0224653928558,"(51.022465392856, -113.993150756215)"
Residential,1,DNW,DOWNTOWN WEST END,CENTRE,BUILT-OUT,CENTRE CITY,-114.08778794454,51.0479662403057,"(51.047966240306, -114.08778794454)"
Residential,1,DNE,DOWNTOWN EAST VILLAGE,CENTRE,BUILT-OUT,CENTRE CITY,-114.050817003339,51.0470648172488,"(51.047064817249, -114.050817003339)"
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,CENTRE,BUILT-OUT,CENTRE CITY,-114.069590268745,51.0472701323622,"(51.047270132362, -114.069590268745)"
Residential,1,DIS,DISCOVERY RIDGE,WEST,BUILT-OUT,2000s,-114.216582665462,51.0154823351313,"(51.015482335131, -114.216582665462)"
Residential,1,DIA,DIAMOND COVE,SOUTH,BUILT-OUT,1980s/1990s,-114.022443909977,50.945804511264,"(50.945804511264, -114.022443909977)"
Residential,1,DDG,DOUGLASDALE/GLEN,SOUTHEAST,BUILT-OUT,1980s/1990s,-114.01190542301,50.9484454788227,"(50.948445478823, -114.01190542301)"
Industrial,2,DBC,DEERFOOT BUSINESS CENTRE,NORTHEAST,N/A,EMPLOYMENT,-114.038327343989,51.1121013773157,"(51.112101377316, -114.038327343989)"
Residential,1,DAL,DALHOUSIE,NORTHWEST,BUILT-OUT,1960s/1970s,-114.158162252921,51.1094140181559,"(51.109414018156, -114.158162252921)"
