Country,"Fertility rate (births/woman)","Life expectancy at birth (years)",GDP (USD),Population density (people/km2),GDP per capita growth (%/yr),Income per capita (USD),CO2 emissions (tons per capita)
Zimbabwe,4.034,50.64,12041655200,32.823375986,18.065966898,773.958005285,0.612527695
Latin America & the Caribbean (IDA & IBRD countries),2.200647751,73.981729674,5152595384307.39,28.833081283,4.834075669,7386.954760539,2.895298972
Middle East & North Africa (IDA & IBRD countries),2.903014667,72.005801457,1374988166298.78,38.098640110,3.399061048,3381.209220636,3.889102521
High income,1.705173061,79.816672158,45356652360747.1,32.950970587,2.283070449,32362.937855160,11.505288746
Somalia,6.865,53.99,,19.198334237,,,0.050846475
Portugal,1.39,79.026829268,237880908317.652,115.439458456,1.690928749,17861.823495158,4.552752646
Finland,1.87,79.870731707,249181190476.369,17.648410661,2.714919864,37972.258188891,11.575281652
"Gambia, The",5.583,59.637,1543292392.54605,177.193280632,2.782993457,382.646449369,0.241304353
Sub-Saharan Africa,5.257987773,56.725470043,1371497000323.48,40.910506263,2.742121986,1184.741866978,0.859137333
Madagascar,4.603,63.388,9982711338.11813,36.371771503,-2.151846628,381.799008898,0.092578070
Uganda,6.111,57.099,20186496527.1256,161.720362059,2.324401765,487.942916077,0.120883274
Morocco,2.567,74.382,93216746661.5977,72.470062738,2.485646027,2472.545212643,1.730134712
Kiribati,3.843,65.769,156120895.248578,127.070370370,-2.846169406,2077.419114441,0.605662265
Russian Federation,1.567,68.841219512,1524917468442.01,8.722634362,4.453103204,8426.137374443,11.694348125
Vietnam,1.938,74.837,115931749697.241,283.702554262,5.364180765,1075.566059350,1.622618922
France,2.03,81.663414634,2642609548930.36,118.759339992,1.447012860,34311.517730595,5.428980862
Senegal,5.064,64.284,16215069255.5883,65.850246715,0.760392106,1134.644424994,0.610870294
Guam,2.488,77.941,4895000000,295.266666667,1.952027754,,
Kuwait,2.234,74.358,115419050942.08,167.894725028,-7.945279411,34443.6354974,29.956090209
Brazil,1.796,73.619,2208871646202.82,23.415931655,6.524372804,9337.194187953,2.144736395
IBRD only,2.155773818,71.164322990,19991425369315,63.734730717,6.258545152,3607.727171928,4.128832646
"Congo, Dem. Rep.",6.544,56.909,21565720044.4634,28.479236894,3.598840323,242.204683096,0.031294864
Syrian Arab Republic,3.404,72.108,,116.334634864,,,2.883815863
Croatia,1.55,76.475609756,59807966533.2848,76.758881344,-1.272578477,11183.879846431,4.696195978
Fragile and conflict affected situations,4.758845326,60.391573260,650133065637.334,33.246200637,4.111259326,1164.229580408,0.849298920
Namibia,3.631,56.665,11282192605.0374,2.573666630,4.146043621,4509.129491692,1.464118206
Aruba,1.768,75.017,2390502793.29609,564.827777778,-3.887760046,19741.149802523,24.670528873
"Korea, Rep.",1.226,80.117073171,1094499338702.72,509.815967078,5.967519429,18160.966051194,11.436316627
Canada,1.6269,81.246341463,1613542812589.39,3.739467928,1.949628210,38427.368031304,15.723345017
Pakistan,3.951,65.264,177165635077.065,232.753010845,-0.601300910,946.338448531,0.899517871
Curacao,2.2,,,334.916666667,-1.176269268,,
Europe & Central Asia (excluding high income),1.851364962,70.784694171,3107761082673.34,17.627174104,4.537190018,6202.599840098,7.558245567
Other small states,3.253772362,64.308849349,325713700713.271,12.828552719,5.724578682,8392.305837710,6.618765908
Cayman Islands,,82.190243902,4156935677.4271,236.133333333,-5.033074075,,9.835262564
Kazakhstan,2.6,68.295365854,148047348240.643,6.045809534,5.794225111,5717.931577953,15.227987329
Myanmar,2.359,63.525,49540813342.4834,77.458926002,8.875133566,942.797631976,0.247337326
IDA only,4.392531598,61.908574685,750818807154.156,50.497497749,3.857456222,693.027795324,0.336372349
Peru,2.546,74.41,147528937028.778,22.677870313,7.455358648,4076.029394366,1.984103239
Angola,6.194,55.35,83799496611.2004,18.734455763,1.079168937,1108.338717000,1.244091538
Dominica,,,493824407.407407,94.504,0.634192937,6024.604417417,1.965997912
Bahrain,2.164,76.057,25713271276.5957,1628.425262068,-0.353779260,16640.902990276,23.585518914
East Asia & Pacific (IDA & IBRD countries),1.868168753,73.110464402,7853687810994.79,122.922310297,8.995841137,3112.598794599,5.137189968
Turkey,2.151,74.507,771901768870.083,93.976310695,6.979031877,8954.726932751,4.120210591
Cuba,1.647,78.338,64328000000,105.466290868,2.398351377,4815.756775662,3.418468671
Burundi,6.179,57.228,2032135246.50004,337.834968847,1.756376353,149.049398763,0.024515417
Heavily indebted poor countries (HIPC),5.367059784,58.858947410,477008957175.009,35.918992578,2.991101465,590.987078203,0.223297055
Paraguay,2.73,72.653,27215968615.5548,15.726201863,9.648636754,3596.179996427,0.815799245
Bolivia,3.213,68.007,19649631450.6819,9.275906951,2.429277860,1545.671015885,1.512986598
New Caledonia,2.2,77.259122134,,13.662472648,,,14.183471471
Cyprus,1.424,79.43,25732432719.0773,120.412554113,-1.280429629,26205.358401890,6.927872430
Small states,3.042611927,66.201202465,395420725523.217,14.096876490,4.905227902,7819.212358621,6.804260975
Uruguay,2.011,76.75,40284481653.4343,19.193663581,7.495365530,10256.277408754,1.901575191
"Iran, Islamic Rep.",1.839,73.905,487069570463.768,45.287531005,4.596446951,5355.085432841,7.768594359
Philippines,3.18,69.823,199590775190.258,315.144984405,5.853846681,2279.916843057,0.903181401
Tanzania,5.427,58.584,32014249841.4151,50.063812373,3.290252459,646.999413145,0.160252602
Guinea,5.336,56.861,6853467857.61127,41.478821423,2.471690640,482.933104295,0.255447904
Euro area,1.580367667,80.746780985,12628220394708.3,125.538791280,1.893332953,31127.800632933,7.425634147
